latitude,longitude,avg_ws100_mean,avg_ws100_std,max_ws100_mean,min_ws100_mean,annual_energy_mwh_mean,annual_energy_mwh_std,annual_energy_gwh_mean,capacity_factor_mean,capacity_factor_std,full_load_hours_mean,full_load_hours_std,low_ratio_mean,high_ratio_mean,safe_ratio_mean,rated_ratio_mean,avg_ws100_cv,annual_energy_mwh_cv,capacity_factor_cv,distance_to_load_km,n_turbines,installed_capacity_mw,score_energy,score_cf,score_turbines,score_distance,score_lowrisk,composite_score,distance_to_control_point,elevation_m,slope_deg,nearest_town_name,distance_to_nearest_town_km,elevation_penalty,slope_penalty,score_town_dist,score_load_dist,score_elevation,score_slope,composite_score_v4,distance_to_reference_point
36.5,99.5,3.7486288233333336,0.2334433313277974,17.395096533333334,0.0314711140733333,1405.3490666666669,263.0200739677859,1.4053490766666668,0.0801551306,0.0150050846765145,702.6745366666668,131.51004236965267,0.5002401418935216,0.0,0.4997598581064783,0.0130728139997171,0.0622743254479424,0.1871564013570241,0.1872005517824531,100.35311299998644,791,1582.0,0.8534539843904492,0.8534397086625282,0.9947575360419396,0.6590024693299943,0.671599139911724,0.8414238054507969,93.74479499331882,3046.669677734375,1.2759363651275637,切吉乡,23.711543176905185,0.0,0.0,0.1510883983326225,0.6590024693299943,1.0,1.0,0.7793614316407402,20.075991450812555
37.5,99.0,4.123842416666666,0.2181102193302212,16.179780816666668,0.048148108,1378.4688333333334,246.5092310640864,1.3784688266666667,0.0786219426666666,0.0140595568565408,689.2344099999999,123.25461485985234,0.3826073350467017,0.0,0.6173926649532983,0.0079615802080993,0.0528900470223402,0.1788282949190748,0.1788248468515856,194.82521907564043,807,1614.0,0.8365225798995547,0.8365079614245057,0.9940086126193596,0.3034050061534026,0.8817201082107886,0.8004432811536967,192.6634454813264,3764.217529296875,14.464654922485352,黑马河乡,110.03834412263431,0.5,0.7,0.7701181587058527,0.3034050061534026,0.5,0.3,0.7410933858009536,132.24034344897365
35.0,98.5,4.290051246666667,0.1774735086510555,16.541480516666667,0.0502625939166666,1364.42272,230.97834514082504,1.36442273,0.0778213285666666,0.0131777499079322,682.2113606666667,115.48917308509866,0.3280424765659439,1.5220700152203337e-05,0.6719423027339039,0.0064949139572988,0.0413686220622541,0.1692864987918297,0.1693333967775093,237.74249279043892,815,1630.0,0.8276751705998484,0.8276663867671027,0.9936341509080696,0.141862363638199,0.9791862930822262,0.7814423501143449,228.01797572657387,4326.90087890625,6.206640243530273,温泉乡,108.5268749681436,1.0,0.3,0.7592797588315872,0.141862363638199,0.0,0.7,0.7138000666495412,195.943734816852
37.25,100.0,3.99179479,0.2104681706188477,17.246199266666668,0.04558783105,1364.4206733333333,252.6947796057896,1.364420665,0.0778219609333333,0.0144244221690563,682.2103406666666,126.34738776456152,0.4242189618318071,3.80517503805e-06,0.5757772329931548,0.0127646572015536,0.0527251979851518,0.1852029836138779,0.185351563955232,118.4287409264296,815,1630.0,0.8276738814391197,0.8276733703027342,0.9936341509080696,0.5909649532528166,0.8073915637599935,0.831629275583222,119.78592696524818,3217.123046875,1.9917339086532595,黑马河乡,61.1836541381842,0.0,0.0,0.419792342124336,0.5909649532528166,1.0,1.0,0.8005468957806603,91.51580496801606
34.75,98.75,4.229618016666667,0.2486540926042818,16.75153025,0.0479414251,1356.8225456666669,281.6374342188264,1.35682254,0.0773877644666666,0.0160696449439826,678.4112690000001,140.81872077600525,0.3478746226014921,1.5220700152206669e-05,0.6521101566983557,0.0071679828829502,0.0587887822551513,0.2075713107202574,0.2076509775767502,239.5092976824212,819,1638.0,0.8228879492895556,0.8228783255039801,0.9934469200524246,0.1352120266909761,0.9437612289343964,0.7744617067978549,230.0265375343808,4374.17919921875,13.958864212036133,温泉乡,98.0626407939542,1.0,0.7,0.6842431270744329,0.1352120266909761,0.0,0.3,0.6800177588542111,209.17008085629908
35.0,98.75,4.309460426666666,0.1516278638240593,16.33142893333333,0.0478172510666666,1348.3783166666665,203.59402107812176,1.3483783333333332,0.0769071052666666,0.0116222246331009,674.18916,101.79700896901431,0.3163902612470993,1.1415525114153334e-05,0.6835983232277865,0.0056889134249901,0.0351848836772686,0.150991764374725,0.1511202975694147,220.2079761922537,825,1650.0,0.8175690722158416,0.8175701699249468,0.9931660737689572,0.207863111153548,1.0,0.7882557407650133,210.5580068391247,4657.02392578125,11.447032928466797,温泉乡,86.50140203936377,1.0,0.7,0.6013401261816855,0.207863111153548,0.0,0.3,0.6855054518572136,184.2273442494454
34.5,98.5,4.07156224,0.2630262512257031,16.403564266666667,0.0423895206333333,1344.1949116666665,288.8759853059362,1.34419491,0.0766667309333333,0.0164771609880493,672.0974533333333,144.43798970270777,0.3896534067752908,3.80517503805e-06,0.610342788049671,0.0088599757965915,0.0646008179960189,0.2149063225866247,0.214919310990021,275.4312775923581,827,1654.0,0.8149340161385421,0.8149155981232639,0.9930724583411348,0.0,0.8691341004974494,0.7426448491012441,265.96913781644497,4240.1552734375,15.242709159851074,温泉乡,132.73017613483998,1.0,1.0,0.9328361000526668,0.0,0.0,0.0,0.6604730700055376,244.1139999319113
37.5,99.25,4.052019223333334,0.2130564941340915,15.9544452,0.0371427096333333,1337.120731,237.32081079567683,1.3371207323333332,0.0762642238333333,0.0135401816535578,668.560364,118.66039820479352,0.397173087639627,0.0,0.6028269123603729,0.0076423405777211,0.0525803265954952,0.177486449273874,0.1775430335873921,179.3216416636917,831,1662.0,0.8104781093454837,0.8104705145620514,0.9928852274854896,0.3617612027796956,0.8557021110136672,0.7932932341057488,177.9898940041258,3957.3154296875,5.820829391479492,黑马河乡,97.67817146653393,0.5,0.3,0.6814861853944852,0.3617612027796956,0.5,0.7,0.7479605761655094,123.06986474944304
37.25,99.25,3.96785736,0.214783762211705,15.999569383333332,0.0366652573333333,1321.1934066666663,244.29554971327303,1.321193412,0.0753552669,0.0139362358357916,660.5967073333334,122.14778155784522,0.4203089573404529,0.0,0.5796910426595471,0.0085432521562657,0.0541309182071265,0.1849052140894524,0.1849404349437935,159.79919995633867,841,1682.0,0.800445757044028,0.8004324567931081,0.9924171503463772,0.4352445941691955,0.8143757882446382,0.7950487740082673,157.37341719346117,3342.16455078125,3.2066352367401123,黑马河乡,74.5329623066799,0.0,0.0,0.5155171801371261,0.4352445941691955,1.0,1.0,0.7787216951553733,97.39285794099776
36.75,98.75,4.127838956666666,0.2139713729134226,15.06302265,0.0365381230833333,1309.6866976666668,216.528267788545,1.309686693333333,0.0746977254,0.0123438111944069,654.84335,108.26413175443255,0.348506791093811,0.0,0.6514932089061889,0.0041554382813084,0.051836172670411,0.1653282942968811,0.1652501616121093,172.17694038893205,849,1698.0,0.7931978755981325,0.7931709031150118,0.992042688635087,0.3886541953676298,0.942632021366416,0.797165546903,166.00685869458417,3449.4267578125,4.58390474319458,黑马河乡,91.64200567821624,0.0,0.0,0.6382022200374875,0.3886541953676298,1.0,1.0,0.7945421332698464,92.3324447136831
